sku	titolo	descrizione	prezzo	prezzo_originale	url	immagine	categoria	marca	ean	disponibilita	tempi_consegna	spese_spedizione	condizione
10616	Antifurto per Carrello Porta-imbarcazione – Sicurezza Antifurto Rimorchio Barca	Antifurto per carrello L'antifurto per carrello è un dispositivo di sicurezza pensato per proteggere il carrello portaimbarcazione da furti o spostamenti non autorizzati durante la sosta a terra. A chi è rivolto Ideale per diportisti e appassionati di nau	42.78	59.89	https://www.onautica.com/products/antifurto-per-carrello?variant=52577415790939&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Antifurto_per_carrello.png?v=1773341621	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137202353	limitata	2-4 giorni lavorativi	5.90	nuovo
750220	Antifurto universale per rimorchi	L' antifurto universale per rimorchi è un dispositivo di sicurezza progettato per proteggere il giunto di aggancio del rimorchio da furti e utilizzi non autorizzati. Robusto e di semplice installazione, si applica direttamente sul giunto rendendo impossib	26.09	36.53	https://www.onautica.com/products/antifurto-universale-per-rimorchi?variant=52577416282459&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Antifurto_universale_per_rimorchi.png?v=1773341622	Nautica;Carrelli;Accessori Carrelli	GFN	8719648002353	limitata	2-4 giorni lavorativi	5.90	nuovo
Z29097-1000	Asse e Coperchio WC Compact Jabsco - Asse/coperchio WC Compact	L'asse e coperchio WC Compact è il ricambio Jabsco composto da sedile, coperchio e set di cerniere per i WC manuali compatti Jabsco. È compatibile con tutti i WC manuali Jabsco della serie 29090 realizzati dal 1986 in poi, oltre che con le serie 37010-009	103.90	107.75	https://www.onautica.com/products/asse-e-coperchio-wc-compact-jabsco?variant=53712501571931&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Z29097-1000-0.webp?v=1785771865	Nautica;Comfort di Bordo;Accessori WC	Jabsco	671880576055	disponibile	2-4 giorni lavorativi	5.90	nuovo
Z29127-1000	Asse e Coperchio WC Regular Jabsco con Cerniere - Asse e coperchio WC Regular	L'asse con coperchio Jabsco comprende sedile, coperchio e set di cerniere per WC regular, pensato come ricambio per la toilette marina. È compatibile con tutte le toilette manuali Jabsco serie 29120 prodotte dal 1986 in poi, oltre che con le serie 37010-1	147.90	153.13	https://www.onautica.com/products/asse-e-coperchio-wc-regular-jabsco-con-cerniere?variant=53703709557083&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Z29127-1000-0.webp?v=1785661054	Nautica;Comfort di Bordo;Accessori WC	Jabsco	671880530651	disponibile	2-4 giorni lavorativi	5.90	nuovo
02.023.15	Barra Posteriore in Plastica con Luci 120 cm 12V per Carrelli Portabarche	Barra Posteriore in Plastica con Luci 120 cm 12V – Kit Completo di Segnalazione per Carrelli Portabarche La barra posteriore in plastica con luci da 120 cm a 12V è il kit completo di segnalazione posteriore per carrelli portabarche e rimorchi porta imbarc	57.48	80.47	https://www.onautica.com/products/barra-posteriore-plastica-luci-120cm-12v-carrelli-portabarche?variant=52577418772827&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/barra-posteriore-plastica-luci-120cm-12v-carrelli-portabarche_ingradimento.webp?v=1776332076	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068300	limitata	2-4 giorni lavorativi	5.90	nuovo
3221901	Base per gommoni attacco per tendalini grigio	Base attacco tendalini da incollare per gommoni. La base per gommoni con attacco per tendalini in colore grigio è un elemento adesivo pensato per fissare i supporti dei tendalini direttamente sulla struttura del gommone, garantendo un ancoraggio stabile e	8.17	11.05	https://www.onautica.com/products/base-attacco-tendalini-grigio-da-incollare-per-gommoni?variant=52577501675867&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/3221901.png?v=1773341861	Nautica;Teli e Coperture;Accessori Teli	Motomarine	8033626095787	limitata	2-4 giorni lavorativi	5.90	nuovo
22.409.37	Borsone Vuoto per Dotazione di Bordo - 4 persone / 150N	Questo articolo è il solo borsone/marsupio , progettato per contenere le dotazioni di sicurezza obbligatorie (kit navigazione) per natanti e imbarcazioni. Fa parte della serie di kit navigazione Marsupio, ed è ideale per chi necessita di sostituire il con	32.51	45.51	https://www.onautica.com/products/solo-borsone-marsupio-kit-navigazione-4-12?variant=51800021041499&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Borsone_marsupio_4_persone.png?v=1773341634	Nautica;Sicurezza;Ricambi Giubbotti	Osculati	8033137017971	limitata	2-4 giorni lavorativi	5.90	nuovo
22.409.35	Borsone Vuoto per Dotazione di Bordo - 6 persone / 100N	Questo articolo è il solo borsone/marsupio , progettato per contenere le dotazioni di sicurezza obbligatorie (kit navigazione) per natanti e imbarcazioni. Fa parte della serie di kit navigazione Marsupio, ed è ideale per chi necessita di sostituire il con	35.31	49.43	https://www.onautica.com/products/solo-borsone-marsupio-kit-navigazione-4-12?variant=51800021107035&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Borsone_marsupio_4_persone.png?v=1773341634	Nautica;Sicurezza;Ricambi Giubbotti	Osculati	8033137017964	limitata	2-4 giorni lavorativi	5.90	nuovo
0612045	Candelieri in acciaio inox Ø 25 mm. H 505 mm.	Candelieri in acciaio inox Ø 25 mm. H 505 mm. I candelieri in acciaio inox da 25 mm di diametro e 505 mm di altezza sono elementi strutturali fondamentali per la sicurezza a bordo, pensati per supportare le draglie lungo il perimetro dell'imbarcazione. A	23.64	33.09	https://www.onautica.com/products/candelieri-in-acciaio-inox-o-25-mm-h-505-mm?variant=52577423262043&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Candelieri_in_acciaio_inox_25_mm._H_505_mm..png?v=1773341637	Nautica;Vela;Accessori Albero	Motomarine	8033626023018	limitata	2-4 giorni lavorativi	5.90	nuovo
0612060	Candelieri in acciaio inox Ø 25 mm. H 600 mm.	Candelieri in acciaio inox Ø 25 mm. H 600 mm. I candelieri in acciaio inox da 25 mm di diametro e 600 mm di altezza sono elementi strutturali fondamentali per il corrimano e le battagliole di bordo, pensati per garantire sicurezza e robustezza nel tempo.	26.27	36.78	https://www.onautica.com/products/candelieri-in-acciaio-inox-o-25-mm-h-600-mm?variant=52577423360347&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Candelieri_in_acciaio_inox_25_mm._H_600_mm.png?v=1773341637	Nautica;Vela;Accessori Albero	Motomarine	8033626023025	limitata	2-4 giorni lavorativi	5.90	nuovo
